time	V(a0)	V(a1)	V(a2)	V(a3)	V(b0)	V(b1)	V(b2)	V(b3)	V(dz_f)	V(out0)	V(out1)	V(out2)	V(out3)	V(out4)	V(out5)	V(out6)	V(out7)	V(sel0)	V(sel1)	V(sel2)	V(sign_f)	V(vdd)	V(zero_f)
0.000000000000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	4.270612e-07	4.270612e-07	4.270612e-07	4.270612e-07	4.270612e-07	4.270612e-07	4.270612e-07	4.270612e-07	0.000000e+00	0.000000e+00	0.000000e+00	5.338266e-08	5.000000e+00	5.000000e+00
4.999999980020986e-12	2.500000e-03	2.500000e-03	2.500000e-03	2.500000e-03	2.500000e-03	2.500000e-03	2.500000e-03	2.500000e-03	1.049957e-07	4.271264e-07	4.270627e-07	4.270626e-07	4.270626e-07	4.270626e-07	4.270626e-07	4.270626e-07	4.270620e-07	0.000000e+00	0.000000e+00	0.000000e+00	5.338270e-08	5.000000e+00	5.000000e+00
9.999999960041972e-12	5.000000e-03	5.000000e-03	5.000000e-03	5.000000e-03	5.000000e-03	5.000000e-03	5.000000e-03	5.000000e-03	1.383206e-07	4.270570e-07	4.270609e-07	4.270610e-07	4.270610e-07	4.270610e-07	4.270610e-07	4.270610e-07	4.270612e-07	0.000000e+00	0.000000e+00	0.000000e+00	5.338263e-08	5.000000e+00	5.000000e+00
1.999999992008394e-11	1.000000e-02	1.000000e-02	1.000000e-02	1.000000e-02	1.000000e-02	1.000000e-02	1.000000e-02	1.000000e-02	1.123460e-07	4.269480e-07	4.270586e-07	4.270588e-07	4.270588e-07	4.270588e-07	4.270588e-07	4.270588e-07	4.270597e-07	0.000000e+00	0.000000e+00	0.000000e+00	5.338261e-08	5.000000e+00	5.000000e+00
3.999999984016789e-11	2.000000e-02	2.000000e-02	2.000000e-02	2.000000e-02	2.000000e-02	2.000000e-02	2.000000e-02	2.000000e-02	-8.695061e-08	4.271253e-07	4.270634e-07	4.270630e-07	4.270630e-07	4.270630e-07	4.270630e-07	4.270629e-07	4.270621e-07	0.000000e+00	0.000000e+00	0.000000e+00	5.338277e-08	5.000000e+00	5.000000e+00
7.999999968033578e-11	4.000000e-02	4.000000e-02	4.000000e-02	4.000000e-02	4.000000e-02	4.000000e-02	4.000000e-02	4.000000e-02	-1.124327e-07	4.270923e-07	4.270611e-07	4.270615e-07	4.270615e-07	4.270616e-07	4.270616e-07	4.270616e-07	4.270617e-07	0.000000e+00	0.000000e+00	0.000000e+00	5.338257e-08	5.000000e+00	5.000000e+00
1.599999993606716e-10	8.000000e-02	8.000000e-02	8.000000e-02	8.000000e-02	8.000000e-02	8.000000e-02	8.000000e-02	8.000000e-02	5.272381e-08	4.269781e-07	4.270600e-07	4.270597e-07	4.270597e-07	4.270596e-07	4.270596e-07	4.270597e-07	4.270601e-07	0.000000e+00	0.000000e+00	0.000000e+00	5.338273e-08	5.000000e+00	5.000000e+00
3.199999987213431e-10	1.600000e-01	1.600000e-01	1.600000e-01	1.600000e-01	1.600000e-01	1.600000e-01	1.600000e-01	1.600000e-01	-4.659525e-08	4.271654e-07	4.270631e-07	4.270633e-07	4.270634e-07	4.270634e-07	4.270634e-07	4.270633e-07	4.270627e-07	0.000000e+00	0.000000e+00	0.000000e+00	5.338261e-08	5.000000e+00	5.000000e+00
6.399999974426862e-10	3.200000e-01	3.200000e-01	3.200000e-01	3.200000e-01	3.200000e-01	3.200000e-01	3.200000e-01	3.200000e-01	2.284906e-10	4.269487e-07	4.270591e-07	4.270589e-07	4.270588e-07	4.270588e-07	4.270588e-07	4.270589e-07	4.270597e-07	0.000000e+00	0.000000e+00	0.000000e+00	5.338271e-08	5.000000e+00	5.000000e+00
1.279999994885372e-09	6.400000e-01	6.400000e-01	6.400000e-01	6.400000e-01	6.400000e-01	6.400000e-01	6.400000e-01	6.400000e-01	-3.986931e-08	4.271774e-07	4.270635e-07	4.270637e-07	4.270638e-07	4.270638e-07	4.270638e-07	4.270637e-07	4.270629e-07	0.000000e+00	0.000000e+00	0.000000e+00	5.338262e-08	5.000000e+00	5.000000e+00
2.559999989770745e-09	1.280000e+00	1.280000e+00	1.280000e+00	1.280000e+00	1.280000e+00	1.280000e+00	1.280000e+00	1.280000e+00	-7.767900e-09	4.269435e-07	4.270589e-07	4.270588e-07	4.270587e-07	4.270586e-07	4.270586e-07	4.270587e-07	4.270596e-07	0.000000e+00	0.000000e+00	0.000000e+00	5.338270e-08	5.000000e+00	5.000000e+00
4.737614583486724e-09	2.368807e+00	2.368807e+00	2.368807e+00	2.368807e+00	2.368807e+00	2.368807e+00	2.368807e+00	2.368807e+00	-3.116894e-08	4.271799e-07	4.270636e-07	4.270638e-07	4.270638e-07	4.270639e-07	4.270639e-07	4.270638e-07	4.270629e-07	0.000000e+00	0.000000e+00	0.000000e+00	5.338262e-08	5.000000e+00	5.000000e+00
6.708651837971766e-09	3.354326e+00	3.354326e+00	3.354326e+00	3.354326e+00	3.354326e+00	3.354326e+00	3.354326e+00	3.354326e+00	-3.268987e-01	2.128537e-04	4.868030e+00	4.868032e+00	4.868025e+00	4.868032e+00	4.868025e+00	4.868032e+00	4.798034e+00	0.000000e+00	0.000000e+00	0.000000e+00	4.962373e+00	5.000000e+00	3.744602e-02
9.087680158832543e-09	4.543840e+00	4.543840e+00	4.543840e+00	4.543840e+00	4.543840e+00	4.543840e+00	4.543840e+00	4.543840e+00	-1.484051e-01	-4.610644e-04	5.097518e+00	5.097513e+00	5.097531e+00	5.097513e+00	5.097531e+00	5.097513e+00	5.152512e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.032643e+00	5.000000e+00	-3.537703e-02
1.000000000000000e-08	5.000000e+00	5.000000e+00	5.000000e+00	5.000000e+00	5.000000e+00	5.000000e+00	5.000000e+00	5.000000e+00	-7.410268e-02	7.906567e-04	4.908097e+00	4.908110e+00	4.908064e+00	4.908110e+00	4.908064e+00	4.908110e+00	4.863069e+00	0.000000e+00	0.000000e+00	0.000000e+00	4.969164e+00	5.000000e+00	3.521651e-02
1.009123198411675e-08	5.000000e+00	5.000000e+00	5.000000e+00	5.000000e+00	5.000000e+00	5.000000e+00	5.000000e+00	5.000000e+00	-9.571140e-02	-3.356042e-04	4.977151e+00	4.977105e+00	4.977139e+00	4.977105e+00	4.977139e+00	4.977105e+00	4.953992e+00	0.000000e+00	0.000000e+00	0.000000e+00	4.991942e+00	5.000000e+00	3.194450e-03
1.027369595235024e-08	5.000000e+00	5.000000e+00	5.000000e+00	5.000000e+00	5.000000e+00	5.000000e+00	5.000000e+00	5.000000e+00	-1.198767e-01	-9.246609e-05	5.011888e+00	5.011937e+00	5.011937e+00	5.011937e+00	5.011938e+00	5.011937e+00	5.016540e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.003905e+00	5.000000e+00	-2.263843e-03
1.063862388881722e-08	5.000000e+00	5.000000e+00	5.000000e+00	5.000000e+00	5.000000e+00	5.000000e+00	5.000000e+00	5.000000e+00	-1.255421e-01	1.428977e-04	4.991269e+00	4.991235e+00	4.991227e+00	4.991234e+00	4.991227e+00	4.991235e+00	4.989833e+00	0.000000e+00	0.000000e+00	0.000000e+00	4.997174e+00	5.000000e+00	1.946040e-03
